epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,4221.99,1.45327,3.20317,3.01581,1.57009,0,0.6384,0.43495,0.4406,0.31197,0.63805,0.4333,0.4338,0.29854,1.576,3.19852,2.81877,1.70824,0,0.000331439,0.000331439,0.000331439
2,8419.61,1.45123,2.86935,2.40458,1.52568,0,0.48194,0.43163,0.40971,0.29762,0.47327,0.41945,0.40877,0.28374,1.62698,3.36632,2.88053,1.76261,0,0.00065161,0.00065161,0.00065161
3,12670.7,1.45016,2.85023,2.25409,1.5322,0,0.4573,0.4625,0.44213,0.30078,0.44696,0.46882,0.43636,0.30242,1.6988,3.24793,2.72209,1.82973,0,0.000958581,0.000958581,0.000958581
4,16885.5,1.45006,2.79788,2.1661,1.53654,0,0.62929,0.4983,0.47068,0.32647,0.61966,0.4871,0.45873,0.31062,1.62725,3.27688,2.6371,1.75182,0,0.0009406,0.0009406,0.0009406
5,21076.4,1.41113,2.7408,2.02152,1.49909,0,0.63369,0.3814,0.41248,0.26959,0.64049,0.36643,0.40316,0.25905,1.76809,3.4859,2.67742,1.86741,0,0.0009208,0.0009208,0.0009208
6,25262.1,1.3656,2.64139,1.94182,1.47634,0,0.70484,0.47143,0.5321,0.39102,0.69908,0.46894,0.52296,0.38852,1.5523,2.8788,2.27505,1.71612,0,0.000901,0.000901,0.000901
7,29471.5,1.33174,2.60641,1.84822,1.44278,0,0.54858,0.47086,0.49986,0.36993,0.54421,0.46908,0.49305,0.36398,1.5152,2.90207,2.26375,1.68961,0,0.0008812,0.0008812,0.0008812
8,4184.08,1.31661,2.59076,1.83124,1.43234,0,0.56164,0.53411,0.54786,0.39913,0.55963,0.51397,0.53979,0.3933,1.46314,2.70715,2.13281,1.60334,0,0.0008614,0.0008614,0.0008614
9,3856.33,1.21478,2.31368,1.6269,1.35313,0,0.67247,0.50878,0.54966,0.40704,0.70805,0.50945,0.5487,0.40516,1.45944,2.71835,1.93894,1.57718,0,0.0008416,0.0008416,0.0008416
10,7753.73,1.28124,2.47687,1.70901,1.39927,0,0.56705,0.52289,0.54253,0.39747,0.59959,0.50912,0.54154,0.39633,1.49229,2.81256,1.99904,1.6375,0,0.0008218,0.0008218,0.0008218
11,11672.7,1.25256,2.45296,1.67999,1.38308,0,0.59292,0.57972,0.59175,0.44559,0.59641,0.57532,0.58598,0.4395,1.38966,2.6177,1.82949,1.52222,0,0.000802,0.000802,0.000802
12,15598.2,1.21841,2.3633,1.59529,1.36513,0,0.58374,0.60683,0.59326,0.43831,0.57196,0.60459,0.58114,0.42445,1.4275,2.73542,1.89163,1.54913,0,0.0007822,0.0007822,0.0007822
13,3873.89,1.14782,2.22534,1.48022,1.30525,0,0.62672,0.55016,0.58207,0.43568,0.65346,0.53299,0.57579,0.43245,1.41257,2.68533,1.83505,1.55612,0,0.0007624,0.0007624,0.0007624
14,7811.12,1.15114,2.21972,1.46172,1.30482,0,0.58236,0.58549,0.59464,0.43602,0.58286,0.57197,0.57761,0.42939,1.41681,2.67381,1.75891,1.52751,0,0.0007426,0.0007426,0.0007426
15,11814.6,1.13814,2.21028,1.4458,1.30042,0,0.56127,0.61748,0.60396,0.45393,0.55447,0.6076,0.58825,0.4432,1.38949,2.59031,1.79086,1.52225,0,0.0007228,0.0007228,0.0007228
16,3897.42,1.06967,2.05831,1.33312,1.25392,0,0.60427,0.5854,0.60928,0.46127,0.62773,0.58273,0.60723,0.45358,1.38044,2.5767,1.69821,1.51661,0,0.000703,0.000703,0.000703
17,4100.21,1.19993,2.30625,1.47482,1.3636,0,0.63258,0.55543,0.59642,0.44229,0.62993,0.54999,0.58485,0.43496,1.37871,2.59332,1.75475,1.51684,0,0.0006832,0.0006832,0.0006832
18,8243.92,1.16668,2.26219,1.44943,1.32189,0,0.61812,0.59588,0.6113,0.46745,0.61336,0.59104,0.60303,0.45506,1.34825,2.4984,1.70403,1.48445,0,0.0006634,0.0006634,0.0006634
19,12384.6,1.17955,2.24446,1.46982,1.33714,0,0.57912,0.61721,0.61331,0.47046,0.58272,0.60461,0.5998,0.46296,1.34947,2.53256,1.72465,1.49586,0,0.0006436,0.0006436,0.0006436
20,16534.5,1.15846,2.20615,1.42687,1.31647,0,0.64125,0.59523,0.62411,0.48295,0.64184,0.57773,0.61008,0.47126,1.32476,2.50951,1.71196,1.47682,0,0.0006238,0.0006238,0.0006238
21,20707.9,1.13959,2.21121,1.38263,1.28773,0,0.63505,0.62607,0.6499,0.49666,0.63655,0.62311,0.63916,0.48295,1.31383,2.38752,1.56571,1.43924,0,0.000604,0.000604,0.000604
22,24842.7,1.13323,2.17846,1.38065,1.28587,0,0.62905,0.64218,0.64872,0.50463,0.62999,0.6361,0.63896,0.48512,1.26924,2.37229,1.54895,1.417,0,0.0005842,0.0005842,0.0005842
23,29000.2,1.12459,2.17516,1.34424,1.28014,0,0.67841,0.60999,0.64027,0.50025,0.68304,0.60704,0.63988,0.48511,1.31207,2.42687,1.59661,1.43512,0,0.0005644,0.0005644,0.0005644
24,33135.8,1.10541,2.1234,1.32501,1.26947,0,0.64717,0.65064,0.66386,0.51218,0.65969,0.63469,0.65034,0.50195,1.30025,2.36332,1.51842,1.43272,0,0.0005446,0.0005446,0.0005446
25,37309.7,1.10158,2.10876,1.30244,1.27011,0,0.65137,0.61552,0.64549,0.49736,0.67092,0.60451,0.64151,0.48936,1.31483,2.41919,1.58522,1.44616,0,0.0005248,0.0005248,0.0005248
26,41465.9,1.08835,2.0803,1.29759,1.2595,0,0.60858,0.66519,0.65556,0.50981,0.61065,0.6445,0.63952,0.49272,1.27573,2.4188,1.51813,1.41427,0,0.000505,0.000505,0.000505
27,4039.16,1.08367,1.99782,1.27764,1.27608,0,0.63604,0.66835,0.66752,0.50783,0.63239,0.66371,0.66026,0.49359,1.3214,2.39496,1.51403,1.45961,0,0.0004852,0.0004852,0.0004852
28,8123.07,1.03411,1.96706,1.17793,1.22193,0,0.66889,0.65279,0.6749,0.51876,0.67257,0.63996,0.66596,0.50263,1.2857,2.3732,1.49825,1.43571,0,0.0004654,0.0004654,0.0004654
29,12218.1,1.03205,1.95037,1.18891,1.23298,0,0.61677,0.66357,0.66618,0.51345,0.59229,0.6506,0.64247,0.49537,1.30701,2.40028,1.52423,1.44524,0,0.0004456,0.0004456,0.0004456
30,16315.2,1.01641,1.92163,1.148,1.21432,0,0.68357,0.61842,0.65919,0.50954,0.67525,0.6177,0.6483,0.49623,1.29772,2.35739,1.54509,1.45963,0,0.0004258,0.0004258,0.0004258
31,20392.2,0.99732,1.91894,1.10901,1.1917,0,0.69532,0.6553,0.66927,0.51687,0.69304,0.64877,0.65945,0.5063,1.29446,2.37493,1.48303,1.42716,0,0.000406,0.000406,0.000406
32,24459.4,0.99793,1.88097,1.10484,1.19516,0,0.66068,0.67613,0.67857,0.52957,0.66567,0.66973,0.67096,0.51415,1.27863,2.31629,1.4632,1.40751,0,0.0003862,0.0003862,0.0003862
33,28505,0.9868,1.88707,1.0832,1.18798,0,0.72366,0.63601,0.67616,0.52419,0.74047,0.62914,0.67109,0.50689,1.28656,2.31822,1.45131,1.43206,0,0.0003664,0.0003664,0.0003664
34,32563.9,0.97743,1.8516,1.07771,1.17844,0,0.69602,0.64882,0.68012,0.52632,0.71518,0.63415,0.66529,0.50274,1.29722,2.361,1.43456,1.42384,0,0.0003466,0.0003466,0.0003466
35,36631.2,0.97261,1.83721,1.05151,1.18266,0,0.68373,0.66056,0.67352,0.52338,0.68435,0.65262,0.66263,0.50939,1.28235,2.35721,1.47112,1.41737,0,0.0003268,0.0003268,0.0003268
36,40647.2,0.96434,1.82336,1.04831,1.17532,0,0.66604,0.67167,0.67854,0.52404,0.65197,0.67863,0.66476,0.51064,1.28218,2.39902,1.4466,1.42789,0,0.000307,0.000307,0.000307
37,3790.68,0.92956,1.77095,0.99809,1.14851,0,0.71218,0.63627,0.68108,0.53033,0.71172,0.63517,0.67328,0.51341,1.28105,2.35537,1.4343,1.43269,0,0.0002872,0.0002872,0.0002872
